=== Symbolic Projection Diagnostic ===

--- Layer 0 ---
[Head 00] cosine: 0.2429, L2: 7.9476
[Head 01] cosine: 0.0377, L2: 7.9905
[Head 02] cosine: 0.1263, L2: 7.9750
[Head 03] cosine: 0.1483, L2: 7.9697
[Head 04] cosine: -0.0734, L2: 8.0119
[Head 05] cosine: 0.2653, L2: 7.9423
[Head 06] cosine: 0.3389, L2: 7.9242
[Head 07] cosine: 0.0031, L2: 8.0006
[Head 08] cosine: 0.2738, L2: 7.9433
[Head 09] cosine: 0.1697, L2: 7.9648
[Head 10] cosine: 0.3317, L2: 7.9368
[Head 11] cosine: -0.0542, L2: 8.0098

--- Layer 1 ---
[Head 00] cosine: 0.2683, L2: 7.9402
[Head 01] cosine: 0.0665, L2: 7.9847
[Head 02] cosine: 0.1519, L2: 7.9698
[Head 03] cosine: 0.1317, L2: 7.9737
[Head 04] cosine: -0.1418, L2: 8.0231
[Head 05] cosine: 0.2654, L2: 7.9425
[Head 06] cosine: 0.3292, L2: 7.9275
[Head 07] cosine: -0.1241, L2: 8.0261
[Head 08] cosine: 0.2495, L2: 7.9505
[Head 09] cosine: 0.1810, L2: 7.9610
[Head 10] cosine: 0.3522, L2: 7.9316
[Head 11] cosine: -0.0442, L2: 8.0086

--- Layer 2 ---
[Head 00] cosine: 0.2679, L2: 7.9396
[Head 01] cosine: 0.0773, L2: 7.9841
[Head 02] cosine: 0.1376, L2: 7.9720
[Head 03] cosine: 0.1284, L2: 7.9743
[Head 04] cosine: -0.1721, L2: 8.0276
[Head 05] cosine: 0.2908, L2: 7.9351
[Head 06] cosine: 0.3060, L2: 7.9353
[Head 07] cosine: -0.1446, L2: 8.0296
[Head 08] cosine: 0.2869, L2: 7.9409
[Head 09] cosine: 0.1350, L2: 7.9699
[Head 10] cosine: 0.3459, L2: 7.9317
[Head 11] cosine: -0.0287, L2: 8.0063

--- Layer 3 ---
[Head 00] cosine: 0.3038, L2: 7.9288
[Head 01] cosine: 0.0799, L2: 7.9838
[Head 02] cosine: 0.1541, L2: 7.9671
[Head 03] cosine: 0.1364, L2: 7.9715
[Head 04] cosine: -0.1663, L2: 8.0278
[Head 05] cosine: 0.2846, L2: 7.9369
[Head 06] cosine: 0.3372, L2: 7.9261
[Head 07] cosine: -0.1395, L2: 8.0292
[Head 08] cosine: 0.3305, L2: 7.9281
[Head 09] cosine: 0.1498, L2: 7.9691
[Head 10] cosine: 0.3612, L2: 7.9282
[Head 11] cosine: -0.0252, L2: 8.0057

--- Layer 4 ---
[Head 00] cosine: 0.3495, L2: 7.9138
[Head 01] cosine: 0.0997, L2: 7.9776
[Head 02] cosine: 0.2092, L2: 7.9537
[Head 03] cosine: 0.1367, L2: 7.9713
[Head 04] cosine: -0.1585, L2: 8.0273
[Head 05] cosine: 0.3316, L2: 7.9215
[Head 06] cosine: 0.3849, L2: 7.9135
[Head 07] cosine: -0.1293, L2: 8.0282
[Head 08] cosine: 0.3394, L2: 7.9260
[Head 09] cosine: 0.2060, L2: 7.9555
[Head 10] cosine: 0.3576, L2: 7.9298
[Head 11] cosine: -0.0158, L2: 8.0043

--- Layer 5 ---
[Head 00] cosine: 0.3728, L2: 7.9056
[Head 01] cosine: 0.1214, L2: 7.9725
[Head 02] cosine: 0.2463, L2: 7.9448
[Head 03] cosine: 0.1849, L2: 7.9591
[Head 04] cosine: -0.1494, L2: 8.0264
[Head 05] cosine: 0.3590, L2: 7.9133
[Head 06] cosine: 0.4055, L2: 7.9078
[Head 07] cosine: -0.1099, L2: 8.0251
[Head 08] cosine: 0.3597, L2: 7.9189
[Head 09] cosine: 0.2849, L2: 7.9341
[Head 10] cosine: 0.3963, L2: 7.9196
[Head 11] cosine: -0.0089, L2: 8.0034
